"source_document_key","canonical_citation","in_published_registry","n_rows_curated"
"Anuario Estadístico 1935, Tabla 36","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, Tabla 36. Santiago.","yes","35"
"Anuario Estadístico 1935, Tabla 8","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, Tabla 8. Santiago.","yes","69"
"Anuario Estadístico de Chile (municipal finance series, 1885)","Oficina Central de Estadística. ca. 1886. Anuario Estadístico de la República de Chile, año 1885, municipal finance tables. Santiago: Imprenta Nacional.","yes","97"
"Anuario Estadístico de Chile 1860","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), Tomo I. Santiago: Imprenta Nacional.","yes","35"
"Anuario estadistico, entrega quinta. P. 450; https://dds.crl.edu/item/177216","Oficina Central de Estadística. 1863. Anuario Estadístico de la República de Chile, año 1862, Entrega Quinta, p. 450. Santiago: Imprenta Nacional.","yes","1"
"Anuario estadistico, entrega quinta. P.450; https://dds.crl.edu/item/177216","Oficina Central de Estadística. 1863. Anuario Estadístico de la República de Chile, año 1862, Entrega Quinta, p. 450. Santiago: Imprenta Nacional.","yes","1"
"BCN Legislators Database","Biblioteca del Congreso Nacional de Chile. Reseñas biográficas parlamentarias, 1811 to present. Santiago: BCN.","yes","385"
"BCN Legislators database 1833-1891","Biblioteca del Congreso Nacional de Chile. Reseñas biográficas parlamentarias, 1811 to present. Santiago: BCN.","yes","116"
"Bauer 1975, Chilean Rural Society (theoretical construct)","Bauer, Arnold J. 1975. Chilean Rural Society from the Spanish Conquest to 1930. Cambridge: Cambridge University Press.","yes","49"
"Boletín de la Sociedad Nacional de Agricultura 1874, Vol VI","Sociedad Nacional de Agricultura. 1874. Boletín de la Sociedad Nacional de Agricultura, Vol. VI. Santiago.","yes","56"
"Catastro de Avalúos 1874","República de Chile. 1874. Rol de Avalúos de la Contribución Agrícola, 1874. Santiago.","yes","46"
"Censo 1907 (Memoria Chilena)","Oficina Central de Estadística. 1908. Censo de la República de Chile levantado el 28 de Noviembre de 1907. Santiago: Sociedad Imprenta y Litografía Universo.","yes","628"
"Censo 1920 (MC0043126)","Oficina Central de Estadística. 1925. X Censo de la Población de la República de Chile, 15 de diciembre de 1920. Santiago.","yes","779"
"Censo 1920 (Memoria Chilena)","Oficina Central de Estadística. 1925. X Censo de la Población de la República de Chile, 15 de diciembre de 1920. Santiago.","yes","261"
"Censo 1930 (Memoria Chilena)","Dirección General de Estadística. 1931. X Censo de Población de la República de Chile, 27 de noviembre de 1930. Santiago.","yes","90"
"Censo 1952 (Memoria Chilena)","Servicio Nacional de Estadística y Censos. 1953. XII Censo General de Población y I de Vivienda de la República de Chile, 24 de abril de 1952. Santiago.","yes","153"
"Censo 1952 Tomo 1 - Resumen del Pais (Servicio Nacional de Estadistica y Censos)","Servicio Nacional de Estadística y Censos. ca. 1956. XII Censo General de Población y I de Vivienda, 24 de abril de 1952, Tomo I: Resumen del País. Santiago.","yes","1297"
"Censo 1970 - Caracteristicas basicas de la poblacion, MAGALLANES (INE/CIREN)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Magallanes. Santiago: INE.","yes","18"
"Censo 1970 - Caracteristicas basicas de la poblacion, NUBLE (INE/CIREN)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Ñuble. Santiago: INE.","yes","57"
"Censo 1970 - Caracteristicas basicas de la poblacion, TARAPACA (INE/CIREN)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Tarapacá. Santiago: INE.","yes","27"
"Censo 1970 CIREN folleto AISEN (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Aysén. Santiago: INE.","yes","20"
"Censo 1970 CIREN folleto ANTOFAGASTA (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Antofagasta. Santiago: INE.","yes","30"
"Censo 1970 CIREN folleto ATACAMA (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Atacama. Santiago: INE.","yes","35"
"Censo 1970 CIREN folleto BIOBIO (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Biobío. Santiago: INE.","yes","40"
"Censo 1970 CIREN folleto CAUTIN (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Cautín. Santiago: INE.","yes","80"
"Censo 1970 CIREN folleto CHILOE (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Chiloé. Santiago: INE.","yes","60"
"Censo 1970 CIREN folleto COLCHAGUA (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Colchagua. Santiago: INE.","yes","135"
"Censo 1970 CIREN folleto CONCEPCION (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Concepción. Santiago: INE.","yes","70"
"Censo 1970 CIREN folleto COQUIMBO (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Coquimbo. Santiago: INE.","yes","75"
"Censo 1970 CIREN folleto CURICO (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Curicó. Santiago: INE.","yes","63"
"Censo 1970 CIREN folleto LINARES (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Linares. Santiago: INE.","yes","40"
"Censo 1970 CIREN folleto LLANQUIHUE (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Llanquihue. Santiago: INE.","yes","45"
"Censo 1970 CIREN folleto MAULE (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Maule. Santiago: INE.","yes","18"
"Censo 1970 CIREN folleto OHIGGINS (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto O'Higgins. Santiago: INE.","yes","85"
"Censo 1970 CIREN folleto OSORNO (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Osorno. Santiago: INE.","yes","25"
"Censo 1970 CIREN folleto SANTIAGO (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Santiago. Santiago: INE.","yes","188"
"Censo 1970 CIREN folleto TALCA (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Talca. Santiago: INE.","yes","81"
"Censo 1970 CIREN folleto VALDIVIA (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Valdivia. Santiago: INE.","yes","60"
"Censo 1970 CIREN folleto VALPARAISO (Características Básicas de la Población)","Instituto Nacional de Estadísticas. ca. 1973. XIV Censo Nacional de Población y III de Vivienda, abril de 1970: Características Básicas de la Población, folleto Valparaíso. Santiago: INE.","yes","90"
"Censo 1992 (INE, Ciudades Pueblos y Aldeas, born-digital)","Instituto Nacional de Estadísticas. 1995. Censo de Población y Vivienda 1992: Ciudades, Pueblos y Aldeas. Santiago: INE.","yes","6030"
"Censo 1992 (INE, born-digital volumen)","Instituto Nacional de Estadísticas. 1993. Censo de Población y Vivienda 1992: Resultados Generales. Santiago: INE.","yes","987"
"Censo Electoral 1915","Dirección del Rejistro Electoral. 1915. Censo Electoral de la República de Chile, 1915. Santiago.","yes","225"
"Censo Jeneral 1875 (MC0043456)","Oficina Central de Estadística. 1876. Quinto Censo Jeneral de la Población de Chile, 1875. Santiago: Imprenta Nacional.","yes","10149"
"Censo Jeneral de la Poblacion de Chile 1875 (Quinto Censo, Oficina Central de Estadistica, 1876)","Oficina Central de Estadística. 1876. Quinto Censo Jeneral de la Población de Chile, 1875. Santiago: Imprenta Nacional.","yes","218"
"Censo Jeneral de la República de Chile, 1865, Clasificacion por provincias","Oficina Central de Estadística. 1866. Censo Jeneral de la República de Chile, 19 de abril de 1865, clasificación por provincias. Santiago: Imprenta Nacional.","yes","55"
"Censo Jeneral de la República de Chile, 1865, Cuadro Sinóptico","Oficina Central de Estadística. 1866. Censo Jeneral de la República de Chile, 19 de abril de 1865, Cuadro Sinóptico. Santiago: Imprenta Nacional.","yes","43"
"Censo de la Republica de Chile levantado el 28 de Noviembre de 1907 (Comision Central del Censo, 1908)","Oficina Central de Estadística. 1908. Censo de la República de Chile levantado el 28 de Noviembre de 1907. Santiago: Sociedad Imprenta y Litografía Universo.","yes","4664"
"Census (census_1930_canonical_pop.csv)","Census (census_1930_canonical_pop.csv)","yes","5"
"Census (census_1930_from1940_canonical_pop.csv)","Census (census_1930_from1940_canonical_pop.csv)","yes","22"
"Census (census_1940_canonical_pop.csv)","Census (census_1940_canonical_pop.csv)","yes","48"
"Census (census_1952_canonical_pop.csv)","Census (census_1952_canonical_pop.csv)","yes","46"
"Census - Chile 1865.pdf","Oficina Central de Estadística. 1866. Censo Jeneral de la República de Chile, 19 de abril de 1865. Santiago: Imprenta Nacional.","yes","6322"
"Census - Chile 1875","Oficina Central de Estadística. 1876. Quinto Censo Jeneral de la Población de Chile, 1875. Santiago: Imprenta Nacional.","yes","20"
"Census - Chile 1885 Tomo II.pdf","Oficina Central de Estadística. ca. 1889. Sesto Censo Jeneral de la Población de Chile, 26 de noviembre de 1885, Tomo II. Santiago: Imprenta Nacional.","yes","14121"
"Census - Chile 1895 Preliminar.pdf","Oficina Central de Estadística. 1896. Sétimo Censo Jeneral de la Población de Chile, 28 de noviembre de 1895: Resultados Preliminares. Santiago.","yes","947"
"Census - Chile 1895 Tomo I.pdf","Oficina Central de Estadística. ca. 1900. Sétimo Censo Jeneral de la Población de Chile, 28 de noviembre de 1895, Tomo I. Santiago.","yes","2484"
"Census - Chile 1895 Tomo II.pdf","Oficina Central de Estadística. ca. 1900. Sétimo Censo Jeneral de la Población de Chile, 28 de noviembre de 1895, Tomo II. Santiago.","yes","2788"
"Census - Chile 1895 Tomo III.pdf","Oficina Central de Estadística. ca. 1900. Sétimo Censo Jeneral de la Población de Chile, 28 de noviembre de 1895, Tomo III. Santiago.","yes","2992"
"Census - Chile 1895 Tomo IV.pdf","Oficina Central de Estadística. ca. 1900. Sétimo Censo Jeneral de la Población de Chile, 28 de noviembre de 1895, Tomo IV. Santiago.","yes","2165"
"Census - Chile 1930 VERIFIED","Dirección General de Estadística. 1931. X Censo de Población de la República de Chile, 27 de noviembre de 1930. Santiago.","yes","335"
"Curation-15 reconstruction (Historical Atlas of Chile)","Historical Atlas of Chile. 2026. Reconstructed series (curation step 15), computed from primary fiscal and trade levels held in the atlas; formulas stated in each indicator definition and the methodology document.","no","68"
"Datos Mamalakis","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force. Westport, CT: Greenwood Press.","yes","665"
"Datos Mamalakis 1","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force. Westport, CT: Greenwood Press.","yes","286"
"Empleados publicos; Censo 1920, organizado por tema; http://www.bibliotecanacionaldigital.gob.cl/visor/BND:82449","Oficina Central de Estadística. 1925. X Censo de la Población de la República de Chile, 15 de diciembre de 1920, public employees by theme. Santiago.","yes","33"
"Enfranchisement Data 1862","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","143"
"Enfranchisement Data 1872","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","143"
"Enfranchisement Data 1920","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","193"
"Estadistica Anual de la Republica de Chile 1926/1927 (Direccion General de Estadistica)","Dirección General de Estadística. ca. 1928. Estadística Anual de la República de Chile, años 1926–1927. Santiago.","yes","36"
"Estadistica Anual de la Republica de Chile 1927 (Yumpu 56511056)","Dirección General de Estadística. ca. 1928. Estadística Anual de la República de Chile, año 1927. Santiago.","yes","121"
"Humud - Politica economica en Chile 1830-1930","Humud, Carlos. 1969. La Política Económica de Chile entre 1830 y 1930. Universidad de Chile.","yes","647"
"Landholding & Democracy in Chile (analysis_panel.xlsx, sheet 3)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","50"
"Landholding & Democracy in Chile (analysis_panel.xlsx, sheet 5)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","2"
"Lei de Presupuestos 1890, Ministerio del Interior","República de Chile. 1890. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1890, Ministerio del Interior. Santiago: Imprenta Nacional.","yes","36"
